                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     91,                 1.3281,                0.66798,                 1.0105,                0.93309,                0.87603,                0.94209,                0.56128,                 1.1547,                 0.5118,                0.98246,              0.0065195,              0.0065195,              0.0065195
                     92,                 1.3323,                0.67233,                 1.0164,                0.93325,                 0.8758,                0.94225,                0.55915,                 1.1542,                0.51332,                0.98445,              0.0064809,              0.0064809,              0.0064809
                     93,                 1.3207,                0.66379,                 1.0065,                0.93314,                0.88032,                0.94282,                0.56204,                 1.1502,                0.51471,                0.98454,              0.0064422,              0.0064422,              0.0064422
                     94,                 1.3082,                0.65697,                 1.0083,                0.92452,                 0.8844,                0.94201,                 0.5647,                 1.1414,                0.50262,                0.97974,              0.0064035,              0.0064035,              0.0064035
                     95,                 1.3043,                0.65234,                 1.0019,                0.92924,                0.88394,                0.94169,                  0.562,                  1.158,                0.50601,                0.98731,              0.0063648,              0.0063648,              0.0063648
                     96,                  1.315,                0.66195,                 1.0026,                  0.924,                0.88691,                0.94018,                0.56065,                 1.1553,                0.51265,                0.98896,              0.0063262,              0.0063262,              0.0063262
                     97,                 1.3139,                0.65988,                 1.0054,                0.92227,                0.89196,                0.94139,                 0.5603,                 1.1535,                0.50834,                0.98609,              0.0062875,              0.0062875,              0.0062875
                     98,                 1.2985,                 0.6524,                  1.008,                 0.9265,                0.88361,                0.94014,                0.55966,                 1.1546,                0.50489,                 0.9867,              0.0062488,              0.0062488,              0.0062488
                     99,                   1.32,                0.66293,                 1.0046,                0.92912,                0.88592,                0.94292,                0.56063,                 1.1486,                0.50281,                0.98372,              0.0062102,              0.0062102,              0.0062102
                    100,                 1.3057,                 0.6533,                 1.0081,                0.93557,                0.88089,                0.94264,                0.56314,                 1.1504,                0.52031,                0.98341,              0.0061715,              0.0061715,              0.0061715
                    101,                 1.2939,                0.64402,                0.99822,                0.93829,                0.88295,                0.94478,                0.56438,                 1.1448,                 0.5028,                0.97775,              0.0061328,              0.0061328,              0.0061328
                    102,                 1.2911,                0.64332,                 1.0022,                0.92518,                0.88625,                0.94239,                0.56555,                 1.1419,                0.49686,                0.97753,              0.0060941,              0.0060941,              0.0060941
                    103,                 1.3015,                0.64885,                 1.0001,                0.94105,                0.87893,                0.94611,                0.56114,                 1.1436,                0.50248,                0.97716,              0.0060555,              0.0060555,              0.0060555
                    104,                 1.3091,                0.65962,                 1.0004,                0.93382,                0.88197,                0.94552,                0.56824,                 1.1414,                0.49589,                0.97118,              0.0060168,              0.0060168,              0.0060168
                    105,                 1.2864,                0.64098,                0.99365,                0.93352,                0.88955,                0.94718,                0.56831,                 1.1322,                0.49144,                0.97211,              0.0059781,              0.0059781,              0.0059781
                    106,                  1.292,                0.64863,                  1.003,                0.94082,                0.88328,                0.94706,                0.56576,                 1.1442,                0.49969,                 0.9818,              0.0059395,              0.0059395,              0.0059395
                    107,                  1.291,                0.64818,                 1.0016,                0.92391,                0.89219,                0.94378,                 0.5663,                 1.1388,                0.49959,                0.97772,              0.0059008,              0.0059008,              0.0059008
                    108,                 1.2864,                0.64393,                0.99367,                0.93432,                0.89115,                0.94784,                0.56939,                 1.1335,                0.49096,                0.97284,              0.0058621,              0.0058621,              0.0058621
                    109,                 1.2845,                0.63998,                0.99662,                0.93449,                0.89285,                0.94732,                0.57106,                 1.1327,                0.48795,                0.97377,              0.0058234,              0.0058234,              0.0058234
                    110,                 1.2885,                0.64275,                0.99899,                 0.9261,                0.89252,                0.94878,                0.57257,                 1.1334,                0.48964,                0.97406,              0.0057848,              0.0057848,              0.0057848
                    111,                 1.2955,                0.64409,                 1.0012,                 0.9266,                0.89898,                0.94888,                 0.5725,                 1.1269,                0.48617,                0.97056,              0.0057461,              0.0057461,              0.0057461
                    112,                 1.2845,                0.63817,                0.99588,                0.92964,                0.90175,                0.95079,                0.57662,                 1.1226,                 0.4823,                 0.9675,              0.0057074,              0.0057074,              0.0057074
                    113,                 1.2799,                0.63201,                0.99642,                0.92809,                 0.8978,                0.95097,                0.57787,                 1.1176,                0.47655,                0.96729,              0.0056688,              0.0056688,              0.0056688
                    114,                 1.2834,                0.63329,                0.99581,                0.93612,                0.89383,                0.94969,                0.57603,                 1.1207,                0.47872,                0.96762,              0.0056301,              0.0056301,              0.0056301
                    115,                 1.2861,                0.63678,                0.99589,                0.93219,                0.90198,                0.94986,                0.57593,                 1.1268,                0.47934,                0.97039,              0.0055914,              0.0055914,              0.0055914
                    116,                 1.2774,                0.63391,                0.99142,                0.92914,                0.90076,                0.94799,                0.57349,                  1.123,                0.47848,                0.96907,              0.0055527,              0.0055527,              0.0055527
                    117,                 1.2795,                0.63063,                0.99323,                 0.9302,                0.89779,                0.94642,                0.57163,                 1.1264,                0.48186,                0.97104,              0.0055141,              0.0055141,              0.0055141
                    118,                 1.2605,                0.62883,                0.99033,                0.93031,                0.89944,                0.94979,                0.57264,                 1.1304,                0.47878,                0.97315,              0.0054754,              0.0054754,              0.0054754
                    119,                 1.2757,                0.63126,                0.99378,                0.92631,                0.90766,                0.95081,                0.57645,                 1.1264,                0.47767,                0.97238,              0.0054367,              0.0054367,              0.0054367
                    120,                 1.2677,                0.62481,                0.98537,                0.92378,                0.90109,                0.95026,                0.57378,                 1.1314,                0.47874,                0.97276,               0.005398,               0.005398,               0.005398
                    121,                 1.2651,                 0.6241,                0.99249,                0.93103,                0.89911,                0.94926,                 0.5739,                 1.1239,                 0.4792,                0.96983,              0.0053594,              0.0053594,              0.0053594
                    122,                 1.2719,                0.62909,                0.99018,                0.92708,                0.89704,                0.94941,                0.57366,                 1.1242,                0.47649,                0.97077,              0.0053207,              0.0053207,              0.0053207
                    123,                 1.2527,                 0.6197,                0.98588,                0.93278,                 0.8912,                 0.9494,                0.57287,                 1.1258,                0.47864,                0.97247,               0.005282,               0.005282,               0.005282
                    124,                 1.2763,                0.62882,                0.99318,                0.93274,                0.89162,                0.94984,                0.57303,                 1.1212,                0.47923,                0.97149,              0.0052434,              0.0052434,              0.0052434
                    125,                 1.2522,                0.62136,                0.99381,                0.93235,                0.89449,                0.95151,                0.57346,                 1.1224,                0.47666,                0.97064,              0.0052047,              0.0052047,              0.0052047
                    126,                 1.2525,                0.61587,                0.98473,                0.93285,                0.90406,                0.95248,                0.57481,                 1.1211,                0.47411,                0.96929,               0.005166,               0.005166,               0.005166
                    127,                 1.2648,                0.62227,                0.98672,                 0.9353,                0.89602,                0.95216,                0.57777,                 1.1116,                0.47463,                0.96523,              0.0051273,              0.0051273,              0.0051273
                    128,                 1.2433,                 0.6104,                 0.9808,                0.93791,                0.89845,                0.95224,                0.57852,                 1.1089,                0.47217,                0.96421,              0.0050887,              0.0050887,              0.0050887
                    129,                 1.2538,                 0.6184,                 0.9827,                0.94218,                0.89717,                0.95195,                0.57741,                 1.1131,                0.46997,                0.96433,                0.00505,                0.00505,                0.00505
                    130,                 1.2391,                0.60944,                0.97814,                0.93123,                0.90241,                0.95056,                0.57756,                 1.1122,                0.47096,                0.96449,              0.0050113,              0.0050113,              0.0050113
                    131,                 1.2352,                 0.6101,                0.98099,                0.93127,                0.90109,                 0.9516,                0.57935,                 1.1109,                0.46887,                0.96387,              0.0049727,              0.0049727,              0.0049727
                    132,                 1.2497,                0.61298,                0.98048,                0.93237,                0.89999,                0.95277,                0.57997,                 1.1114,                0.46602,                0.96352,               0.004934,               0.004934,               0.004934
